name,lastname,otchestvo,gender,birdhdate,start,end,district
Серпер,Евгений,Александрович,м,31.07.1980,18.09.2016,,Жигулевский
Бурматов,Владимир,Владимирович,м,18.08.1981,18.09.2016,,Металлургический
Козенко,Андрей,Дмитриевич,м,03.08.1981,18.09.2016,,Симферопольский
Гладких,Борис,Михайлович,м,16.02.1983,18.09.2016,,Хабаровский
Мукабенова,Марина,Алексеевна,ж,20.03.1982,18.09.2016,,Калмыцкий
Федяев,Павел,Михайлович,м,31.07.1982,18.09.2016,,Заводский
Романов,Михаил,Валентинович,м,03.11.1984,18.09.2016,,Юго-Восточный
Грибов,Александр,Сергеевич,м,22.05.1986,18.09.2016,,Ярославский
Прокопьев,Александр,Сергеевич,м,05.08.1986,18.09.2016,,Бийский
Шипулин,Антон,Владимирович,м,21.08.1987,08.09.2019,,Серовский
