КОПУК,Название,Адрес,Число дней работы парка (Единица),Общая площадь парка (Гектар),Число досуговых объектов: всего (Единица),Число досуговых объектов: требуют капитального ремонта  (Единица),Число досуговых объектов: работающие круглогодично (Единица),"Количество спортивных объектов (залов, площадок): в летний сезон (Единица)","Количество спортивных объектов (залов, площадок): в зимний сезон (Единица)",Прокат спортивного инвентаря: в летний сезон (Единица),Прокат спортивного инвентаря: в зимний сезон (Единица),"Число концертных площадок, павильонов (Единица)",Количество игровых объектов на детских площадках: в летний сезон (Единица),Количество игровых объектов на детских площадках: в зимний сезон (Единица),Количество посадочных мест в кафе и ресторанах: в летний сезон (Единица),Количество посадочных мест в кафе и ресторанах: в зимний сезон (Единица),Количество туалетов: в летний сезон (Единица),Количество туалетов: в зимний сезон (Единица),Наличие доступа в Интернет (Единица),Число культурно-массовых и физкультурно-оздоровительных мероприятий: всего (Единица),Численность работников: всего (Человек),Численность работников: штатных (Человек)
270429,Динской ПКО,"353204, Краснодарский край, район Динской, станица Динская, улица Красная, дом 78",167,"15,3",3,,1,,,,,,5,,,,2,2,TRUE,185,16,16
270397,Белоглинский ПКО,"353040, Краснодарский край, район Белоглинский, село Белая Глина, улица Чехова, дом 60",365,"4,7",24,,21,2,2,,,3,19,19,,,2,1,TRUE,86,16,16
278469,"Кузнецкий КДК ""Нескучный сад""","Пензенская обл., город Кузнецк, улица Комсомольская",365,"4,1",27,,7,1,1,,TRUE,1,5,5,30,,4,4,TRUE,200,16,16
270024,"ПКО ""Центральный"" г.Барнаула","Алтайский край, город Барнаул, проспект Социалистический",312,"3,5",27,2,,,1,,TRUE,1,6,1,,,6,2,TRUE,24,16,13
270414,Парк культуры и отдыха ст.Выселки,"353100, Краснодарский край, район Выселковский, станица Выселки, улица Ленина, дом 39",195,"2,2",11,,2,1,1,,,,18,,,,1,1,TRUE,47,16,16
272265,"ГПКО ""Горняцкие горизонты""","Кемеровская обл., район Таштагольский, город Таштагол, улица Ноградская",365,"1,1",3,,2,,,TRUE,TRUE,1,9,3,,,1,1,TRUE,148,16,16
277663,Заельцовский ПКО,"630001, Новосибирская обл., город Новосибирск, улица Парковая, дом 88",365,39,100,,58,11,4,TRUE,TRUE,4,3,3,80,80,10,6,TRUE,78,15,15
277502,"Парк культуры и отдыха ""Парк-Кольцово""","Новосибирская обл., район Новосибирский, рабочий поселок Кольцово",247,"14,7",5,,1,2,2,TRUE,TRUE,1,9,,,,7,7,TRUE,6,15,15
278581,Культурно-досуговый центр г.Сердобска,"Пензенская обл., район Сердобский, город Сердобск, улица М.Горького",247,"5,1",13,,3,2,1,,TRUE,1,1,1,,,2,2,TRUE,152,15,15
270403,Белореченский ГПКО,"Краснодарский край, район Белореченский, город Белореченск, ул. Ленина, 62",365,"4,8",16,,6,1,1,TRUE,TRUE,1,8,8,120,20,2,1,TRUE,577,15,6
270486,Старощербиновский ПКО им.40-летия Победы,"353620, Краснодарский край, район Щербиновский, станица Старощербиновская, улица Первомайская, дом 91/1",365,"4,7",19,,19,2,2,,,2,7,7,,,1,1,TRUE,488,15,15
278825,"ГПКО, Великие Луки","Псковская обл., город Великие Луки, набережная Краснофлотская",366,"0,9",8,5,,,,,TRUE,1,,,,,2,2,TRUE,40,15,10
277292,"ПКО, Серпухов","142200, Московская обл., город Серпухов, улица Луначарского, дом 74",365,"36,7",46,,39,10,8,TRUE,TRUE,4,47,47,,,6,6,TRUE,140,14,14
