"Cоциальная сеть","Группа соц. сети","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте"
"ВКонтакте","wall-82197743","1","1","0.0","1.0","00:00:13"
"ВКонтакте","wall54759879","1","1","1.0","1.0","00:00:00"
"ВКонтакте","xupomnt","1","1","1.0","1.0","00:00:00"
"Одноклассники","profile/570306327555","1","1","0.0","1.0","00:00:15"
"Livejournal","alex-777-70","1","1","0.0","7.0","00:08:04"
"Livejournal","archivrus","1","1","0.0","1.0","00:00:13"
"Livejournal","arverrus","1","1","0.0","4.0","00:09:39"
"Livejournal","irina-fadeewa","1","1","1.0","1.0","00:00:00"
"Livejournal","magis-amica","1","1","0.0","2.0","00:00:12"
"Livejournal","pycode-ru","1","1","0.0","1.0","00:00:15"
"Livejournal","sono-nata","1","1","0.0","1.0","00:00:15"
"Livejournal","users","1","1","1.0","1.0","00:00:00"
"Livejournal","usser-live","1","1","1.0","1.0","00:00:00"
"Livejournal","vlad-v-af","1","1","0.0","2.0","00:07:19"
"Livejournal","zlobnijgoblin","1","1","1.0","1.0","00:00:00"
"Livejournal","zol-dol","1","1","0.0","1.0","00:00:15"
"Pinterest","pin/693061830135625096","1","1","1.0","1.0","00:00:00"
