"No.","Time","Source","Destination","Protocol","Length","Info"
"74","1.545953","172.16.0.8","64.13.134.52","TCP","58","36051  >  1723 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"75","1.610282","172.16.0.8","64.13.134.52","TCP","58","36051  >  3050 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"76","1.610353","172.16.0.8","64.13.134.52","TCP","58","36051  >  683 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"77","1.610418","172.16.0.8","64.13.134.52","TCP","58","36051  >  8222 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"78","1.610483","172.16.0.8","64.13.134.52","TCP","58","36051  >  1417 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"79","1.610547","172.16.0.8","64.13.134.52","TCP","58","36051  >  6 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"80","1.610612","172.16.0.8","64.13.134.52","TCP","58","36051  >  2030 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"81","1.610677","172.16.0.8","64.13.134.52","TCP","58","36051  >  1233 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"82","1.610745","172.16.0.8","64.13.134.52","TCP","58","36051  >  1687 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"83","1.610811","172.16.0.8","64.13.134.52","TCP","58","36051  >  6000 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"84","1.610875","172.16.0.8","64.13.134.52","TCP","58","36051  >  2222 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"85","1.610939","172.16.0.8","64.13.134.52","TCP","58","36051  >  5414 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"86","1.611004","172.16.0.8","64.13.134.52","TCP","58","36051  >  990 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"87","1.611074","172.16.0.8","64.13.134.52","TCP","58","36051  >  10621 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"88","1.611138","172.16.0.8","64.13.134.52","TCP","58","36051  >  2605 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"89","1.611202","172.16.0.8","64.13.134.52","TCP","58","36051  >  10629 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"90","1.611267","172.16.0.8","64.13.134.52","TCP","58","36051  >  1056 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"91","1.690280","172.16.0.8","64.13.134.52","TCP","58","36050  >  2038 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"92","1.690356","172.16.0.8","64.13.134.52","TCP","58","36050  >  14238 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"93","1.690422","172.16.0.8","64.13.134.52","TCP","58","36050  >  514 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"94","1.690487","172.16.0.8","64.13.134.52","TCP","58","36050  >  3880 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"95","1.690551","172.16.0.8","64.13.134.52","TCP","58","36050  >  17877 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"96","1.690614","172.16.0.8","64.13.134.52","TCP","58","36050  >  7777 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"97","1.690678","172.16.0.8","64.13.134.52","TCP","58","36050  >  4848 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"98","1.690745","172.16.0.8","64.13.134.52","TCP","58","36050  >  32778 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"99","1.690808","172.16.0.8","64.13.134.52","TCP","58","36050  >  16080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"100","1.690873","172.16.0.8","64.13.134.52","TCP","58","36050  >  1594 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"101","1.690937","172.16.0.8","64.13.134.52","TCP","58","36050  >  65000 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"102","1.755374","172.16.0.8","64.13.134.52","TCP","58","36050  >  1075 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"103","1.755474","172.16.0.8","64.13.134.52","TCP","58","36050  >  1300 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"104","1.755545","172.16.0.8","64.13.134.52","TCP","58","36050  >  2701 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"105","1.755615","172.16.0.8","64.13.134.52","TCP","58","36050  >  843 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"106","1.755680","172.16.0.8","64.13.134.52","TCP","58","36050  >  2005 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"107","1.755744","172.16.0.8","64.13.134.52","TCP","58","36050  >  9200 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"108","1.755814","172.16.0.8","64.13.134.52","TCP","58","36050  >  5903 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"109","1.755878","172.16.0.8","64.13.134.52","TCP","58","36050  >  1067 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"110","1.755942","172.16.0.8","64.13.134.52","TCP","58","36050  >  4003 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"111","1.756011","172.16.0.8","64.13.134.52","TCP","58","36050  >  33899 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"112","1.756078","172.16.0.8","64.13.134.52","TCP","58","36050  >  7676 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"113","1.756150","172.16.0.8","64.13.134.52","TCP","58","36050  >  14442 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"114","1.756214","172.16.0.8","64.13.134.52","TCP","58","36050  >  31337 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"115","1.756278","172.16.0.8","64.13.134.52","TCP","58","36050  >  1247 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"116","1.756342","172.16.0.8","64.13.134.52","TCP","58","36050  >  1311 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"117","1.756407","172.16.0.8","64.13.134.52","TCP","58","36050  >  9917 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"118","1.818507","64.13.134.52","172.16.0.8","TCP","60","31337  >  36050 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"119","1.820296","172.16.0.8","64.13.134.52","TCP","58","36051  >  65000 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"120","1.820365","172.16.0.8","64.13.134.52","TCP","58","36051  >  1594 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"121","1.820433","172.16.0.8","64.13.134.52","TCP","58","36051  >  16080 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"122","1.820497","172.16.0.8","64.13.134.52","TCP","58","36051  >  32778 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"123","1.820561","172.16.0.8","64.13.134.52","TCP","58","36051  >  4848 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"124","1.820626","172.16.0.8","64.13.134.52","TCP","58","36051  >  7777 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"125","1.820690","172.16.0.8","64.13.134.52","TCP","58","36051  >  17877 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"126","1.820757","172.16.0.8","64.13.134.52","TCP","58","36051  >  3880 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"127","1.820826","172.16.0.8","64.13.134.52","TCP","58","36051  >  514 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"128","1.820890","172.16.0.8","64.13.134.52","TCP","58","36051  >  14238 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"129","1.820955","172.16.0.8","64.13.134.52","TCP","58","36051  >  2038 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"130","1.821023","172.16.0.8","64.13.134.52","TCP","58","36050  >  8291 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"131","1.821090","172.16.0.8","64.13.134.52","TCP","58","36050  >  3826 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"132","1.821153","172.16.0.8","64.13.134.52","TCP","58","36050  >  3077 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"133","1.821217","172.16.0.8","64.13.134.52","TCP","58","36050  >  1187 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"134","1.821281","172.16.0.8","64.13.134.52","TCP","58","36050  >  7200 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"135","1.821345","172.16.0.8","64.13.134.52","TCP","58","36050  >  5822 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"136","1.821414","172.16.0.8","64.13.134.52","TCP","58","36050  >  1024 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"137","1.821478","172.16.0.8","64.13.134.52","TCP","58","36050  >  10626 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"138","1.821542","172.16.0.8","64.13.134.52","TCP","58","36050  >  32 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"139","1.821606","172.16.0.8","64.13.134.52","TCP","58","36050  >  15004 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"140","1.821670","172.16.0.8","64.13.134.52","TCP","58","36050  >  52848 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"141","1.821730","172.16.0.8","64.13.134.52","TCP","58","36050  >  24 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"142","1.821793","172.16.0.8","64.13.134.52","TCP","58","36050  >  5101 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"143","1.821857","172.16.0.8","64.13.134.52","TCP","58","36050  >  1296 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"144","1.821921","172.16.0.8","64.13.134.52","TCP","58","36050  >  9102 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"145","1.880300","172.16.0.8","64.13.134.52","TCP","58","36051  >  9917 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"146","1.880367","172.16.0.8","64.13.134.52","TCP","58","36051  >  1311 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"147","1.880435","172.16.0.8","64.13.134.52","TCP","58","36051  >  1247 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"148","1.880500","172.16.0.8","64.13.134.52","TCP","58","36051  >  14442 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"149","1.880568","172.16.0.8","64.13.134.52","TCP","58","36051  >  7676 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"150","1.880635","172.16.0.8","64.13.134.52","TCP","58","36051  >  33899 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"151","1.880700","172.16.0.8","64.13.134.52","TCP","58","36051  >  4003 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"152","1.880771","172.16.0.8","64.13.134.52","TCP","58","36051  >  1067 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"153","1.880837","172.16.0.8","64.13.134.52","TCP","58","36051  >  5903 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"154","1.880902","172.16.0.8","64.13.134.52","TCP","58","36051  >  9200 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"155","1.880967","172.16.0.8","64.13.134.52","TCP","58","36051  >  2005 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"156","1.881031","172.16.0.8","64.13.134.52","TCP","58","36051  >  843 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"157","1.881099","172.16.0.8","64.13.134.52","TCP","58","36051  >  2701 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"158","1.881163","172.16.0.8","64.13.134.52","TCP","58","36051  >  1300 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"159","1.881228","172.16.0.8","64.13.134.52","TCP","58","36051  >  1075 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"160","1.945355","172.16.0.8","64.13.134.52","TCP","58","36051  >  9102 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"161","1.945441","172.16.0.8","64.13.134.52","TCP","58","36051  >  1296 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"162","1.945495","172.16.0.8","64.13.134.52","TCP","58","36051  >  5101 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"163","1.945547","172.16.0.8","64.13.134.52","TCP","58","36051  >  24 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"164","1.945599","172.16.0.8","64.13.134.52","TCP","58","36051  >  52848 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"165","1.945651","172.16.0.8","64.13.134.52","TCP","58","36051  >  15004 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"166","1.945703","172.16.0.8","64.13.134.52","TCP","58","36051  >  32 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"167","1.945755","172.16.0.8","64.13.134.52","TCP","58","36051  >  10626 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"168","1.945819","172.16.0.8","64.13.134.52","TCP","58","36051  >  1024 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"169","1.945883","172.16.0.8","64.13.134.52","TCP","58","36051  >  5822 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"170","1.945947","172.16.0.8","64.13.134.52","TCP","58","36051  >  7200 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"171","1.946012","172.16.0.8","64.13.134.52","TCP","58","36051  >  1187 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"172","1.946076","172.16.0.8","64.13.134.52","TCP","58","36051  >  3077 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"173","1.946141","172.16.0.8","64.13.134.52","TCP","58","36051  >  3826 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"174","1.946208","172.16.0.8","64.13.134.52","TCP","58","36051  >  8291 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"175","1.946277","172.16.0.8","64.13.134.52","TCP","58","36050  >  5959 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"176","1.946341","172.16.0.8","64.13.134.52","TCP","58","36050  >  425 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"177","1.946406","172.16.0.8","64.13.134.52","TCP","58","36050  >  9500 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"178","1.946519","172.16.0.8","64.13.134.52","TCP","58","36050  >  14000 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"179","1.946583","172.16.0.8","64.13.134.52","TCP","58","36050  >  15660 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"180","1.946647","172.16.0.8","64.13.134.52","TCP","58","36050  >  13456 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"181","1.946711","172.16.0.8","64.13.134.52","TCP","58","36050  >  1073 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"182","1.946775","172.16.0.8","64.13.134.52","TCP","58","36050  >  2106 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"183","1.946839","172.16.0.8","64.13.134.52","TCP","58","36050  >  61532 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"184","1.946906","172.16.0.8","64.13.134.52","TCP","58","36050  >  497 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"185","1.946973","172.16.0.8","64.13.134.52","TCP","58","36050  >  2869 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"186","2.005315","172.16.0.8","64.13.134.52","TCP","58","36050  >  6669 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"187","2.005398","172.16.0.8","64.13.134.52","TCP","58","36050  >  1433 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"188","2.005463","172.16.0.8","64.13.134.52","TCP","58","36050  >  4000 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"189","2.005527","172.16.0.8","64.13.134.52","TCP","58","36050  >  1043 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"190","2.005591","172.16.0.8","64.13.134.52","TCP","58","36050  >  9575 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"191","2.005656","172.16.0.8","64.13.134.52","TCP","58","36050  >  32768 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"192","2.005722","172.16.0.8","64.13.134.52","TCP","58","36050  >  1641 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"193","2.005786","172.16.0.8","64.13.134.52","TCP","58","36050  >  5825 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"194","2.005849","172.16.0.8","64.13.134.52","TCP","58","36050  >  9898 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"195","2.005913","172.16.0.8","64.13.134.52","TCP","58","36050  >  27355 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"196","2.005977","172.16.0.8","64.13.134.52","TCP","58","36050  >  1583 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"197","2.006037","172.16.0.8","64.13.134.52","TCP","58","36050  >  6580 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"198","2.006100","172.16.0.8","64.13.134.52","TCP","58","36050  >  3001 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
