time,source,destination,protocol,length,tcp_retransmission,srcport,dstport,flags,seq_ack,win,len,mss,10
1.69028,172.16.0.8,64.13.134.52,TCP,58,False,36050,2038,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.6903560000000002,172.16.0.8,64.13.134.52,TCP,58,False,36050,14238,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.690422,172.16.0.8,64.13.134.52,TCP,58,False,36050,514,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.6904869999999999,172.16.0.8,64.13.134.52,TCP,58,False,36050,3880,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.690551,172.16.0.8,64.13.134.52,TCP,58,False,36050,17877,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.6906139999999998,172.16.0.8,64.13.134.52,TCP,58,False,36050,7777,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.690678,172.16.0.8,64.13.134.52,TCP,58,False,36050,4848,[SYN],Seq=0,Win=3072,Len=0,MSS=1460,
1.6907450000000002,172.16.0.8,64.13.134.52,TCP,58,False,36050,32778,[SYN],Seq=0,Win=1024,Len=0,MSS=1460,
1.690808,172.16.0.8,64.13.134.52,TCP,58,False,36050,16080,[SYN],Seq=0,Win=1024,Len=0,MSS=1460,
1.6908729999999998,172.16.0.8,64.13.134.52,TCP,58,False,36050,1594,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.690937,172.16.0.8,64.13.134.52,TCP,58,False,36050,65000,[SYN],Seq=0,Win=1024,Len=0,MSS=1460,
1.7553740000000002,172.16.0.8,64.13.134.52,TCP,58,False,36050,1075,[SYN],Seq=0,Win=3072,Len=0,MSS=1460,
1.7554740000000002,172.16.0.8,64.13.134.52,TCP,58,False,36050,1300,[SYN],Seq=0,Win=3072,Len=0,MSS=1460,
1.7555450000000001,172.16.0.8,64.13.134.52,TCP,58,False,36050,2701,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.7556150000000001,172.16.0.8,64.13.134.52,TCP,58,False,36050,843,[SYN],Seq=0,Win=3072,Len=0,MSS=1460,
1.75568,172.16.0.8,64.13.134.52,TCP,58,False,36050,2005,[SYN],Seq=0,Win=3072,Len=0,MSS=1460,
1.755744,172.16.0.8,64.13.134.52,TCP,58,False,36050,9200,[SYN],Seq=0,Win=1024,Len=0,MSS=1460,
1.755814,172.16.0.8,64.13.134.52,TCP,58,False,36050,5903,[SYN],Seq=0,Win=3072,Len=0,MSS=1460,
1.7558779999999998,172.16.0.8,64.13.134.52,TCP,58,False,36050,1067,[SYN],Seq=0,Win=3072,Len=0,MSS=1460,
1.755942,172.16.0.8,64.13.134.52,TCP,58,False,36050,4003,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.756011,172.16.0.8,64.13.134.52,TCP,58,False,36050,33899,[SYN],Seq=0,Win=3072,Len=0,MSS=1460,
1.7560779999999998,172.16.0.8,64.13.134.52,TCP,58,False,36050,7676,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.75615,172.16.0.8,64.13.134.52,TCP,58,False,36050,14442,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.756214,172.16.0.8,64.13.134.52,TCP,58,False,36050,31337,[SYN],Seq=0,Win=3072,Len=0,MSS=1460,
1.7562779999999998,172.16.0.8,64.13.134.52,TCP,58,False,36050,1247,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.7563419999999998,172.16.0.8,64.13.134.52,TCP,58,False,36050,1311,[SYN],Seq=0,Win=3072,Len=0,MSS=1460,
1.756407,172.16.0.8,64.13.134.52,TCP,58,False,36050,9917,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.8185069999999999,64.13.134.52,172.16.0.8,TCP,60,False,31337,36050,"[RST,",ACK],Seq=1,Ack=1,Win=0,Len=0
1.820296,172.16.0.8,64.13.134.52,TCP,58,False,36051,65000,[SYN],Seq=0,Win=1024,Len=0,MSS=1460,
1.8203650000000002,172.16.0.8,64.13.134.52,TCP,58,False,36051,1594,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.8204330000000002,172.16.0.8,64.13.134.52,TCP,58,False,36051,16080,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.820497,172.16.0.8,64.13.134.52,TCP,58,False,36051,32778,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.820561,172.16.0.8,64.13.134.52,TCP,58,False,36051,4848,[SYN],Seq=0,Win=3072,Len=0,MSS=1460,
1.8206259999999999,172.16.0.8,64.13.134.52,TCP,58,False,36051,7777,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.8206900000000001,172.16.0.8,64.13.134.52,TCP,58,False,36051,17877,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.820757,172.16.0.8,64.13.134.52,TCP,58,False,36051,3880,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.8208259999999998,172.16.0.8,64.13.134.52,TCP,58,False,36051,514,[SYN],Seq=0,Win=1024,Len=0,MSS=1460,
1.8208900000000001,172.16.0.8,64.13.134.52,TCP,58,False,36051,14238,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.8209549999999999,172.16.0.8,64.13.134.52,TCP,58,False,36051,2038,[SYN],Seq=0,Win=3072,Len=0,MSS=1460,
1.821023,172.16.0.8,64.13.134.52,TCP,58,False,36050,8291,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.82109,172.16.0.8,64.13.134.52,TCP,58,False,36050,3826,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.8211529999999998,172.16.0.8,64.13.134.52,TCP,58,False,36050,3077,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.8212169999999999,172.16.0.8,64.13.134.52,TCP,58,False,36050,1187,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.8212810000000001,172.16.0.8,64.13.134.52,TCP,58,False,36050,7200,[SYN],Seq=0,Win=1024,Len=0,MSS=1460,
1.821345,172.16.0.8,64.13.134.52,TCP,58,False,36050,5822,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.8214139999999999,172.16.0.8,64.13.134.52,TCP,58,False,36050,1024,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.821478,172.16.0.8,64.13.134.52,TCP,58,False,36050,10626,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.8215419999999998,172.16.0.8,64.13.134.52,TCP,58,False,36050,32,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.821606,172.16.0.8,64.13.134.52,TCP,58,False,36050,15004,[SYN],Seq=0,Win=3072,Len=0,MSS=1460,
1.8216700000000001,172.16.0.8,64.13.134.52,TCP,58,False,36050,52848,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.8217299999999998,172.16.0.8,64.13.134.52,TCP,58,False,36050,24,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.821793,172.16.0.8,64.13.134.52,TCP,58,False,36050,5101,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
